id,Key,Russian,English,Chinese,Spanish,Brazilian portuguese,"Deutsche Sprache ",Japanese,French,Polish,Korean,Turkish,Italian,Hungary
1.0,u_nas_pochti,У нас почти,We almost,我们差点,Casi,A gente quase,Wir haben es fast,ほぼ,On a presque,U nas prawie,거의,Neredeyse oldu,Ci siamo quasi,Majdnem
2.0,pochti_poluchilos,Почти получилось,Almost made it,就差一点,Casi lo logramos,Quase conseguiu,Fast geschafft,ほぼ成功した,On a presque réussi,Prawie się udo,거의 됐어,Neredeyse başarmıştık,Quasi fatto,Majdnem sikerült
3.0,prodolgai_zhit,Продолжай жить,Keep living,继续活着,Sigue viviendo,Continua vivendo,Leb weiter,生き続けろ,Continue de vivre,Kontynuuj życie,계속 살아,Yaşamaya devam et,Continua a vivere,Élj tovább
4.0,prestupit_zhit,Начать жить,Start living,开始活着,Empieza a vivir,Começar a viver,Fang an zu leben,生き始めろ,Commence à vivre,Zacząć żyć,살기 시작해,Yaşamaya başla,Inizia a vivere,Kezdj el élni
5.0,umytsya,Умыться,Wash,洗脸,Lávate,Lavar o rosto,Sich waschen,洗面,Se laver,Umyć się,세수하다,Yüzünü yıka,Lavarsi,Megmosakodni
6.0,dima,Дима,Dima,迪马,Dima,Dima,Dima,ディマ,Dima,Dima,디마,Dima,Dima,Dima
7.0,propushenyi_zvonok,пропущенный звонок,missed call,未接来电,llamada perdida,chamada perdida,Anruf verpasst,不在着信,appel manqué,nieodebrane połączenie,부재 중 전화,kaçan çağrı,chiamata persa,elvesztett hívás
8.0,ei,Эй,Hey,喂,Oye,Ei,Hey,おい,Hé,Hej,야,Hey,Ehi,Hé
9.0,ty_zdes,Ты здесь?,Are you here?,你在这儿？,¿Estás aquí?,Você tá aqui?,Bist du hier?,ここにいるのか？,Tu es là ?,Ty tutaj?,여기 있냐?,Burada mısın?,Sei qui?,Itt vagy?
10.0,nu_pochemu_ty_takoi_bessovestnyi_suchenish,Ну почему ты такой бессовестный сучёныш,Why are you such a shameless son of a bitch,你怎么能这么无耻 狗娘养的,¿Por qué eres un desgraciado sinvergüenza?,"Poxa, por que você é um filho da puta tão sem vergonha","Na, warum bist du so ein schamloser Hurensohn",なぜお前はそんなに図々しいクソッタレなんだ,Mais pourquoi t'es un fils de pute aussi sans vergogne,No dlaczego jesteś takim bezwstydnym sukinsynem,왜 그렇게 철면피한 개새끼야,Neden bu kadar yüzsüz bir orospu çocuğusun,Ma perché sei così uno sfrontato figlio di puttana,"Na, miért vagy ilyen szégyentelen rohadék"
11.0,zdes_shusyi_koshmar_ty_v_kurse,Здесь сущий кошмар ты в курсе?,"It's a complete nightmare here, r u aware?",这儿简直噩梦 知道不？,"Aquí es una pesadilla, ¿sabes?","Aqui tá um verdadeiro pesadelo, cê tá sabendo?","Hier ist der reinste Albtraum, weißt du das?",ここは地獄だってわかってるのか？,Ici c'est un vrai cauchemar t'es au courant ?,Tutaj istny koszmar ty w kursie?,여진짜 지옥인 거 알고 있냐?,"Burası tam bir kabus, haberin var mı?","Qui è un vero incubo, lo sai?","Itt teljes rémálom, tudod?"
12.0,bliad_ny_ge,"Блядь, ну же","Fuck, come on",妈的 快点,"Mierda, vamos","Porra, qualé","Scheiße, komm schon",クソ、しっかりしろ,"Putain, allez","Kurwa, noże","씨발, 어서","Siktir, hadi ama","Cazzo, dai","Basszus, gyerünk"
13.0,ty_ge_znaesh_v_twoe_otsutstvie_wsu_rabotu_sbrosiat_na_menya,Ты же знаешь в твоё отсутствие всю работу сбросят на меня,You know they'll dump all work on me in ur absence,你不在活儿全压我身上了,Sabes que me echarán todo el trabajo sin ti,Cê sabe que na sua ausência vão jogar todo o trabalho em cima de mim,"Du weißt doch, dass in deiner Abwesenheit die ganze Arbeit auf mich abgewälzt wird",お前がいない間、仕事全部俺に押し付けられるってわかってるだろ,Tu sais qu'en ton absence tout le travail va me retomber dessus,Tyż wiesz w twoją nieobecność całą pracę zrzucą na mnie,너 없을 때 일 다 나한테 떠맡겨지는 거 알면서,"Biliyorsun, yokluğunda tüm işler bana kalacak",Lo sai che in tua assenza tutto il lavoro mi verrà scaricato addosso,"Tudod, hogy a távollétedben az összes munkát rám hárítják"
14.0,polzovatel_zablokirovan,пользователь заблокирован,user is blocked,用户已被屏蔽,usuario bloqueado,usuário bloqueado,Benutzer blockiert,ユーザーはブロックされました,utilisateur bloqué,użytkownik zablokowany,사용자 차단됨,kullanıcı engellendi,utente bloccato,felhasználó blokkolva
15.0,papa,Папа,Dad,爸,Papá,Pai,Papa,パパ,Papa,Tata,아빠,Baba,Papà,Apa
16.0,gde_ty_mat_volnuetsia,Где ты мать волнуется,"Where are you, mother is worried",你在哪 妈很担心,"Dónde estás, mamá está preocupada","Cadê você, a mãe tá preocupada","Wo bist du, Mutter macht sich Sorgen",どこにいるの、母さんが心配してる,Où es-tu maman s'inquiète,Gdzie ty matka niepokoi się,어디야 엄마가 걱정해,"Neredesin, annem endişeleniyor","Dove sei, la mamma è preoccupata","Hol vagy, anyu aggódik"
17.0,ty_doma,Ты дома?,Are you home?,在家吗？,¿Estás en casa?,Tá em casa?,Bist du zu Hause?,家にいる？,Tu es à la maison ?,Ty w domu?,집이야?,Evde misin?,Sei a casa?,Otthon vagy?
18.0,est,Есть,Yes,在,Sí,Tô,Ja,いる,Oui,Jest,응,Evet,Sì,Igen
19.0,bolshe_chasa_uge_proshlo_nadeus_uspeet,"Больше часа уже прошло, надеюсь успеет","Over hour has passed already, hope he be able to",都过了一个多小时了 希望他能赶上,"Ya pasó más de una hora, ojalá llegue a tiempo","Já passou mais de uma hora, espero que ele dê tempo","Es ist schon über eine Stunde vergangen, hoffentlich schafft er es",もう一時間以上経った、間に合えばいいが,"Ça fait plus d'une heure déjà, j'espère qu'il arrivera à temps","Więcej godziny już przeszło, mam nadzieję zdąży","한 시간도 더 지났어, 늦기 전에 왔으면 좋겠다","Bir saati geçti, umarım yetişir","È passata già più di un'ora, spero che farà in tempo","Már több mint egy óra eltelt, remélem, ideér"
20.0,zavtrak_wse_rawno_nado_prigotovit,Завтрак всё равно надо приготовить,Need to make breakfast anyway,反正得做早饭,Igual hay que hacer el desayuno,O café da manhã tem que fazer de qualquer jeito,Frühstück muss sowieso gemacht werden,朝食はどうせ作らなきゃ,Le petit-déjeuner doit de toute façon être préparé,Śniadanie i tak trzeba przygotować,아침은 어차피 해야 해,Kahvaltıyı yine de yapmak lazım,La colazione va fatta comunque,A reggelit úgyis meg kell csinálni
21.0,da_est_ge_ne_zria_veril_v_nego,Да есть же! Не зря верил в него,"Yea, there is! My faith was justified",有了！我就知道没信错人,"¡Sí, está! No creí en él en vano","Isso, ele tá aí! Acreditei nele à toa não","Ja, er ist da! Hab ja nicht umsonst an ihn geglaubt",よし、いるぞ！信じてた甲斐があった,"Mais oui, il est là ! J'ai pas cru en lui pour rien",Tak jestże! Nie na darmo wierzył w niego,"그래, 있어! 믿은 보람이 있네","Evet, işte orada! Ona boşuna inanmadım","Sì, c'è! Non ci ho creduto per niente","Igen, ott van! Nem hiába hittem benne"
22.0,net_ya_konechno_vce_ponimau_no,"Нет, я конечно всё понимаю, но...","Nope, I get it all, but... ",不 我理解 但...,"No, lo entiendo todo, pero...","Não, eu entendo tudo, claro, mas...","Nein, ich verstehe natürlich alles, aber...",いや、もちろん全部わかってる、だが…,"Non, je comprends tout, bien sûr, mais...","Nie, ja oczywiście wszystko rozumiem, ale...","아니, 다 이해하지만, 그래도...","Hayır, elbette her şeyi anlıyorum, ama...","No, capisco tutto, certo, ma...","Nem, mindent megértek, persze, de..."
23.0,vy_mogli_vybrat_uchastok_eshe_dalshe,Вы могли выбрать участок ещё дальше?,Could your place be any further out?,你们非得选个更远的地儿？,¿Podrían haber elegido un lote más lejano?,Vocês poderiam ter escolhido um lote ainda mais longe?,Hätten Sie nicht ein Grundstück noch weiter weg wählen können?,もっと遠い区画を選べなかったのか？,Vous auriez pu choisir un terrain encore plus loin ?,Wy mogli wybrać działkę jeszcze dalej?,더 먼 구획을 고르지 그래요?,Daha uzak bir arsa seçemez miydiniz?,Avreste potuto scegliere un lotto ancora più lontano?,Választhattak volna még távolabbi telket?
24.0,dobroe_utro_dim,"Доброе утро, Дим","Morning, Dima",早 迪马,"Buenos días, Dim","Bom dia, Dim","Guten Morgen, Dim",おはよう、ディム,"Bonjour, Dim","Dobre rano, Dim","좋은 아침, 딤","Günaydın, Dim","Buongiorno, Dim","Jó reggelt, Dim"
25.0,dobroe,Доброе ,Good,早,Buenos,Bom dia,Guten Morgen,おはよう,Bonjour,Dobre,좋은 아침,Günaydın,Buongiorno,Jó reggelt
26.0,mogli_iznachalno_ved_planirovalos_stroitsia_eshe_dalshe_za_rekoy,"Могли, изначально ведь планировалось строиться ещё дальше, за рекой","Сould, it was initially planned to build even further away, beyond the river",本来计划建更远 河对岸,"Podríamos, inicialmente se planeó construir más lejos, tras el río","Poderíamos, originalmente tava planejado construir ainda mais longe, além do rio","Könnten wir, ursprünglich war geplant, noch weiter weg zu bauen, jenseits des Flusses",選べたよ、元々はもっと遠く、川の向こうに建てる計画だった,"On aurait pu, initialement il était prévu de construire encore plus loin, au-delà de la rivière","Mogli, z początku przecież planowało się budować jeszcze dalej, za rzeką","그럴 수 있었지, 원래는 더 멀리, 강 건너에 지을 계획이었어","Seçebilirdik, başlangıçta daha da uzakta, nehrin ötesinde inşa etmeyi planlıyorduk","Avremmo potuto, inizialmente era previsto costruire ancora più lontano, oltre il fiume","Lehetett, eredetileg még távolabb épülni terveztünk, a folyón túl"
27.0,eta_washa,Эта ваша...,This your...,你们这...,Esta su...,Essa sua...,Diese Ihre...,この君たちの…,Votre espèce de...,Ta wasza...,이 당신들...,Şu sizin...,Questa vostra...,Ez a ti...
28.0,bud_dobr_potishe_ona_eshe_spit,"Будь добр потише, она ещё спит","Please be quieter, she's still sleeping",小点声 她还睡着,"Por favor, más bajo, aún duerme","Faz favor de ficar mais quieto, ela ainda tá dormindo","Sei so gut, leiser, sie schläft noch",お願いだ静かにしてくれ、彼女はまだ寝ている,"Sois gentil de faire moins de bruit, elle dort encore","Bądź dobry ciszej, ona jeszcze śpi","조용히 해 줘, 걔 아직 자고 있어","Biraz daha sessiz olur musun, o hala uyuyor","Fai il favore di stare più zitto, sta ancora dormendo","Légy szíves csendesen, még alszik"
29.0,izvini_ne_dymal_chto_v_spalnoi_mogno_uslishat,"Извини, не думал что в спальной можно услышать","Sorry, didn't think it could be heard in the bedroom",抱歉 没想到卧室能听见,"Perdón, no pensé que se oiría en el dormitorio","Desculpa, não pensei que dava pra ouvir no quarto","Entschuldige, dachte nicht, dass man es im Schlafzimmer hören kann",すまない、寝室で聞こえるとは思わなかった,"Désolé, je ne pensais pas qu'on pouvait entendre dans la chambre","Przepraszam, nie myślałem że w sypialnej można usłyszeć","미안, 침실에서 들릴 줄은 몰랐어","Özür dilerim, yatak odasında duyulabileceğini düşünmemiştim","Scusa, non pensavo si sentisse in camera da letto","Bocs, nem gondoltam, hogy a hálószobában hallani lehet"
30.0,steny_doma_horoshi_delo_ne_v_nich,"Стены дома хороши, дело не в них","The house walls are good, it's not about them",墙没问题,"Las paredes son buenas, no es eso","As paredes da casa são boas, não é problema delas","Die Wände des Hauses sind gut, es liegt nicht an ihnen",家の壁はしっかりしている、そこの問題じゃない,"Les murs de la maison sont bons, le problème ne vient pas d'eux","Ściany domu dobre, rzecz nie w nich","집 벽은 좋아, 그 문제가 아니야","Evin duvarları iyi, mesele onlarda değil","Le pareti di casa sono buone, non è colpa loro","A ház falai jók, nem velük van a baj"
31.0,les_on,"Лес, он","The forest, it",是森林,"El bosque, él","A floresta, ela","Der Wald, er",森は、それが,"La forêt, elle","Las, on","숲은, 그게","Orman, o","La foresta, essa","Az erdő, az"
32.0,on_otragaet_zvuk_inache,Он отражает звук иначе,It reflects sound differently,反射声音不一样,Refleja el sonido distinto,Ela reflete o som diferente,Er reflektiert den Klang anders,音を違うように反射する,Elle réfléchit le son différemment,On odbija dźwięk inaczej,소리를 다르게 반사해,Sesi farklı yansıtıyor,Riflette il suono diversamente,Másképp veri vissza a hangot
33.0,ya_hochu_skazat,"Я хочу сказать, в городе ты неосознанно свыкаешься с его перманентным гулом, перестаёшь ощущать его, не замечаешь сотен и тысяч ускользающих звуков, произнесённых шёпотом слов, или скрипов половицы, которые он заглушает","I want to say, in the city you tune out, get used to its permanent hum, stop feeling it, don't notice hundreds and thousands of elusive sounds, words spoken in a whisper or floorboard creaks, which it drowns out",城里你会不自觉习惯永久噪音 渐渐感觉不到 忽略成千上万细微声响 耳语般的话 地板吱呀 都被噪音盖住,"Digamos, en la ciudad te acostumbras inconsciente a su zumbido permanente, dejas de sentirlo, no notas cientos de miles de sonidos elusivos, palabras susurradas, o crujidos del suelo que él ahoga","Quero dizer, na cidade você inconscientemente se acostuma com o zumbido permanente dela, para de sentir, não percebe centenas e milhares de sons fugidios, palavras faladas em sussurro, ou rangidos do assoalho que ela abafa","Ich will sagen, in der Stadt gewöhnt man sich unbewusst an ihr permanentes Summen, hört auf, es zu spüren, bemerkt nicht die Hunderte und Tausende entfliehender Geräusche, im Flüsterton gesprochener Worte oder des Knarrens der Dielen, die es übertönt",つまりな、街ではお前は無意識にその絶え間ない雑音に慣れ、それを感じるのをやめ、それがかき消す数百、数千の逃げ去る音、囁きで発せられた言葉、あるいは床板のきしみに気づかなくなる,"Je veux dire, en ville tu t'habitues inconsciemment à son bourdonnement permanent, tu cesses de le sentir, tu ne remarques pas les centaines et milliers de sons fuyants, les mots prononcés en chuchotant, ou les craquements du plancher qu'il couvre","Ja chcę powiedzieć, w mieście ty nieświadomie oswajasz się z jego permanentnym humem, przestajesz odczuwać go, nie zauważasz setek i tysięcy uciekających dźwięków, wypowiedzianych szeptem słów, albo skrzypień deski podłogowej, które on zagłusza","내 말은, 도시에서는 무의식적으로 그 끊이지 않는 굉음에 익숙해져서, 그걸 느끼는 걸 멈추고, 그것이 잡아버리는 수백, 수천 개의 스쳐 지나가는 소리, 속삭임으로 말해진 단어, 혹은 마루 바닥의 삐걱거림을 알아채지 못한다는 거야","Demek istediğim, şehirde bilinçsizce onun kalıcı uğultusuna alışıyorsun, onu hissetmeyi bırakıyorsun, bastırdığı yüzlerce, binlerce kaçan sesi, fısıldanan sözleri veya yer tahtasının gıcırtılarını fark etmiyorsun","Voglio dire, in città ti abitui inconsciamente al suo ronzio permanente, smetti di percepirlo, non noti centinaia e migliaia di suoni sfuggenti, parole pronunciate in un sussurro, o scricchiolii del pavimento che esso copre","Azt akarom mondani, a városban öntudatlanul hozzászoksz az állandó zúgásához, megszűned érezni, nem veszel észre százával, ezrével elillanó hangokat, suttogva kimondott szavakat, vagy a padló recsegését, amit elnyom"
34.0,v_lesu_ge,"В лесу же, в лесу ты осязаешь даже собственное сердцебиение","In the forest, in the forest you can even feel your own heartbeat",森林里 甚至能听见自己心跳,"En el bosque, en el bosque hasta sientes tu propio latido","Na floresta, no entanto, na floresta você sente até a própria batida do coração","Im Wald hingegen, im Wald spürt man sogar den eigenen Herzschlag",森では、森ではお前は自身の鼓動さえ感じ取る,"Dans la forêt, en revanche, dans la forêt tu perçois même ton propre battement de cœur","W lesież, w lesie ty dotykasz nawet własnego bicia serca","숲에서는, 숲에서는 너는 자신의 심장박동조차 느껴","Ormanda ise, ormanda kendi kalp atışını bile hissedebiliyorsun","Nella foresta, invece, nella foresta percepisci persino il proprio battito cardiaco","Az erdőben viszont, az erdőben még a saját szívverésed is megérinted"
35.0,eto_woshishaet_esli,"Это восхищает, если ты достаточно здоров чтобы слушать, и сказывается крайне тлетворно, при необходимости заглушить мысли ","It's sublime, if you are healthy enough to listen, but turns utterly pernicious, when there's a need to drown out thoughts",若你足够健康去聆听 这很美妙 若需压抑思绪 便极有害,"Es sublime, si estás bastante sano para escuchar, y resulta utterly pernicioso, al necesitar ahogar pensamientos","Isso é admirável, se você tá saudável o suficiente pra ouvir, e se revela extremamente nocivo, quando precisa abafar os pensamentos","Das ist bewundernswert, wenn man gesund genug ist, um zuzuhören, und wirkt sich äußerst schädlich aus, wenn man Gedanken unterdrücken muss",これは素晴らしい、聴くのに十分健康であればな、そして考えを打ち消す必要がある時には、極めて有害に作用する,"C'est admirable, si tu es assez sain pour écouter, et cela se révèle extrêmement pernicieux, quand on a besoin d'étouffer ses pensées","To zachwyca, jeśli ty dość zdrowy by słuchać, i odbija się krańcowo trująco, przy konieczności zagłuszyć myśli","이건 훌륭해, 들을 만큼 건강하다면 말이지, 그리고 생각을 잊어야 할 필요가 있을 때는 극히 해롭게 작용해","Bu dinlemek için yeterince sağlıklıysan hayranlık verici, ve düşünceleri bastırman gerektiğinde son derece zararlı etkileri oluyor","Questo è ammirevole, se sei abbastanza sano da ascoltare, e si rivela estremamente nocivo, quando c'è bisogno di soffocare i pensieri","Ez csodálatos, ha eléggé egészséges vagy a hallgatáshoz, és rendkívül károsan hat, ha el kell nyomni a gondolatokat"
36.0,mmm,Ммм...,Mmm...,嗯...,Mmm...,Mmm...,Mmm...,うーん…,Mmm...,Mmm...,음...,Mmm...,Mmm...,Mmm...
37.0,da_da_mugik_nesomnenno,"Да, да мужик, несомненно","Yes, yes man, undoubtedly",是 是 老兄 当然,"Sí, sí hombre, sin duda","Sim, sim, cara, sem dúvida","Ja, ja, Mann, zweifellos",ああ、そうだな、間違いない,"Ouais, ouais mec, sans aucun doute","Tak, tak chłop, niewątpliwie","그래, 그래, 당연하지","Evet, evet adamım, şüphesiz","Sì, sì, amico, senza dubbio","Igen, igen, haver, kétségtelenül"
38.0,tak_vot_o_chem_bish_ya,"Так вот, о чём бишь я?","So, what was I on about?",我刚说哪了？,"Entonces, ¿de qué hablaba?","Então, do que é que eu tava falando?","Also, wovon war ich am Reden?",そうそう、何の話だったっけ？,"Alors, de quoi est-ce que je parlais, déjà ?","Tak więc, o czymże ja?","그러니까, 내가 무슨 말을 하려던 거지?","Şimdi, ne hakkında konuşuyordum?","Allora, di che cosa stavo parlando?","Szóval, miről is beszéltem?"
